-2.30000000,-1.50087947
-2.10000000,-1.98080166
-1.90000000,-3.09320220
-1.70000000,-7.76129399
-1.50000000,14.13683290
-1.30000000,3.73833413
-1.10000000,2.20460439
-0.90000000,1.60872581
-0.70000000,1.30745925
-0.50000000,1.13949393
-0.30000000,1.04675161
-0.10000000,1.00502092
0.10000000,1.00502092
0.30000000,1.04675161
0.50000000,1.13949393
0.70000000,1.30745925
0.90000000,1.60872581
1.10000000,2.20460439
1.30000000,3.73833413
1.50000000,14.13683290
1.70000000,-7.76129399
1.90000000,-3.09320220
2.10000000,-1.98080166
2.30000000,-1.50087947
2.50000000,-1.24821565
2.70000000,-1.10610642
2.90000000,-1.02991050
3.10000000,-1.00086560
3.30000000,-1.01267897
3.50000000,-1.06785505
3.70000000,-1.17910619
3.90000000,-1.37753891
4.10000000,-1.73966308
4.30000000,-2.49501514
4.50000000,-4.74392755
4.70000000,-80.71895755
4.90000000,5.36157469
